"yearNumber","Time","dcAnnualHealthUS","dcOUDNoTxExcess","dcOUDTxExcess","dcMethadone","dcBuprenorphine","dcNaltrexone","dcOverdoseNonfatal","dcOverdoseFatal","dcNetProductivity","dcCM","dcTherapy","dcHubSpoke","dcED","dcTH","nRun"
4,2025,5792.93555241029,6750.7245900634,5400.22427723156,7335.92491528579,4904.50283014659,13750.4972622206,3888.84561463362,3169.89078033072,685781.393394868,2484.34391722565,4074.61198547732,25431.3611523631,381.134651687518,0,"503"
5,2026,5624.20927418475,6554.10154375088,5242.93619148695,7122.25719930659,4761.65323315203,13349.9973419618,3775.57826663458,3077.56386439876,665807.17805327,2411.98438565597,3955.93396648283,24690.6418954982,370.033642415066,0,"503"
6,2027,5460.39735357743,6363.20538228241,5090.22931212325,6914.81281486077,4622.96430403109,12961.162467924,3665.60996760639,2987.92608194054,646414.735974049,2341.73241325822,3840.71258881828,23971.4969859206,359.255963509772,0,"503"
7,2028,5301.35665395867,6177.8693031868,4941.9702059449,6713.41049986482,4488.31485828262,12583.6528814796,3558.84462874406,2900.89910868014,627587.122304901,2273.52661481381,3728.84717360998,23273.2980445831,348.792197582303,0,"503"
8,2029,5146.94820772686,5997.93136231728,4798.0293261601,6517.87427171342,4357.58724105108,12217.1387198832,3455.18895994569,2816.4069016312,609307.885732914,2207.30739302311,3620.23997437862,22595.4349947409,338.633201536217,0,"503"
9,2030,4997.03709488045,5823.23433234688,4658.28089918456,6328.03327350817,4230.66722432144,11861.2997280419,3354.55238829679,2734.37563265165,591561.054109625,2143.01688643021,3514.79609162973,21937.3155288746,328.770098578851,0,"503"
10,2031,4851.49232512665,5653.62556538532,4522.60281474229,6143.72162476522,4107.44390710819,11515.8249786815,3256.84697892892,2654.73362393364,574331.120494782,2080.59891886428,3412.42338993178,21298.3645911404,319.194270464904,0,"503"
0,2021,6520,7598,6078,5955.23727632989,6132.99924909952,19281.5436643013,4376.93,3567.74,771853,0,0,0,0,0,"504"
1,2022,6330.09708737864,7376.69902912621,5900.97087378641,5781.78376342708,5954.36820300924,18719.9453051469,4249.44660194175,3463.82524271845,749371.844660194,1115.91946578232,1741.00753213173,9923.1260554223,201.202855973779,0,"504"
2,2023,6145.72532755208,7161.84371759827,5729.09793571496,5613.3822945894,5780.9400029216,18174.7041797542,4125.6763125648,3362.93712885286,727545.480252616,2166.83391414043,3380.59714977036,19268.2059328588,390.685157230638,0,"504"
